1,¿Cuál es la comida típica de Bogotá?
2,¿Cuál es la moneda oficial de Colombia?
3,¿En qué extremo de América del Sur se ubica Colombia?
4,¿Cuál es el río navegable más importante de Colombia?
5,¿Cuál es la ciudad de la eterna primavera?
6,¿Cuál es el destino turístico más importante de Colombia?
7,¿La independencia de Colombia se presentó el?
8,¿Quien murió como consecuencia del Bogotazo?
9,¿Cuándo fue la masacre de las bananeras?
10,"Ciudad Amurallada, ""Ciudad Heroica"" y ""Capital Romántica de América""?"
11,¿Quién es el escritor colombiano más importante?
12,¿Quién fue el vicepresidente de Colombia en el periodo de 2002 – 2010?
13,¿Cuál es la capital de Colombia?
14,¿Cuál es el rio más caudaloso de Colombia?
15,¿Cuantos habitantes tiene aproximadamente Colombia?
16,¿Cuántos departamentos tiene Colombia?
17,¿Cuál es el idioma oficial de Colombia?
18,¿Cuál es el nombre de la residencia oficial del presidente de Colombia?
19,¿Durante cual gobierno presidencial se dio la apertura económica?
20,¿Por cuántos senadores está conformado el senado de la República?
21,¿Cuántos partidos políticos hay en Colombia?
22,¿Cuál es el animal representativo de Colombia?
23,¿Cuántas cordilleras tiene Colombia?
24,¿Cuál es la flor nacional de Colombia?
25,¿Cuál es el árbol nacional de Colombia?
26,¿En qué departamentos de Colombia principalmente se produce el café?
27,¿En qué año fue creada la bandera de Colombia?
28,¿Cuál es el día Nacional?
29,¿Pintor Representativo de Colombia?
30,¿Con cuántos portales cuenta TransMilenio en este momento?
31,¿Nombre del ministro del Interior en Colombia año 2014?
32,¿Colombia viene negociando la paz con?
33,¿Uno de los principales puertos de Colombia es?
34,¿Plato típico de la Costa Caribe?
35,¿Cuál es el plato típico de Nariño?
36,¿Cuántos Ministerios tiene Colombia?
37,¿Cuántos municipios tiene Colombia?
38,¿Sitio representativo de Bogotá?
39,¿Cuántas Bibliotecas tiene Bogotá?
40,¿Dónde nació el Alcalde Gustavo Petro Urrego?
41,¿La letra del himno de Bogotá fue escrita por?
42,¿Cuál es el plato típico de Medellín?
43,¿Nadador Colombiano?
44,¿Colombia pertenece a esta América?
45,¿Cuáles son los 2 colores representativos de la bandera de Bogotá?
46,¿Cuál es el departamento de Leticia?
47,¿Cuál es el plato típico de Boyacá?
48,¿En qué año Colombia obtuvo su primera medalla olímpica?
49,¿Cuál es el departamento de Medellín?
50,¿Cuál es la capital de Arauca?
51,¿Cuál es la capital del Atlántico?
52,¿Cuál es la capital de Bolivar?
53,¿Cuál es la capital de Boyacá?
54,¿Cuál es la capital de Caldas?
55,¿Cuál es la capital de Caquetá?
56,¿Cuál es la capital de Casanare?
57,¿Cuál es la capital de Cauca?
58,¿Cuál es la capital de Cesar?
59,¿Cuál es la capital de Chocó?
60,¿Cuál es la capital de Córdoba?
61,¿Cuál es la capital de Cundinamarca?
62,¿Cuál es la capital de Guainía?
63,¿Cuál es la capital de Guaviare?
64,¿Cuál es la capital de Huila?
65,¿Cuál es la capital de La Guajira?
66,¿Cuál es el departamento de Santa Marta?
67,¿Cuál es el departamento de Villavicencio?
68,¿Cuál es el departamento de San Juan de Pasto?
69,¿Cuál es el departamento de San José de Cúcuta?
70,¿Cuál es el departamento de Mocoa?
71,¿Cuál es el departamento de Armenia?
72,¿Cuál es el departamento de Pereira?
73,¿Cuál es el departamento de San Andrés?
74,¿Cuál es el departamento de Bucaramanga?
75,¿Cuál es el departamento de Sincelejo?
76,¿Cuál es el departamento de Ibagué?
77,¿Cuál es el departamento de Cali?
78,¿Cuál es el departamento de Mitú?
79,¿Cuál es el departamento de Puerto Carreño?
80,¿Quién fue Luis Mariano Ospina Pérez?
81,¿Cuál es el máximo órgano representativo del poder legislativo en Colombia?
82,¿Qué ley reguló el Sistema de la Seguridad Social en Colombia?
83,¿Cuál de las siguientes ciudades no posee sus costas en el Caribe Colombiano?
84,"¿El porro ""Colombia tierra querida"" fue compuesto por?"
85,¿Cuál de las siguientes no representa una de las salas del consejo de estado?
86,¿Cómo se llamó el único presidente negro que ha tenido Colombia?
87,¿Cuál era el nombre completo del periodista Jaime Garzón?
88,¿Cuál otra ciudad fue la capital de Colombia en su momento?
89,¿Fecha del terremoto del Eje Cafetero?
90,¿A qué colombiano se le expidió por primera vez la cédula antigua?
91,¿Cuál es el departamento más grande de Colombia?
92,¿Cuál es el departamento más poblado de Colombia?
93,"¿Cuántos habitantres tiene el archipielago de San Andrés, Providencia y Santa Catalina?"
94,¿Cuál es la ciudad fronteriza más importante de Colombia?
95,¿Cuál es la mejor ciudad para vivir en Colombia según las encuestas?
96,"¿Cuál es la ciudad llamada ""la sucursal del cielo""?"
97,¿Cuál fue la primera ciudad en Colombia en tener Tren?
98,¿A los bogotanos se les puede nombrar?
99,¿En qué año Colombia se llamó República de la Nueva Granada?
100,¿Quién fue el Alcalde de Bogotá en el periodo de 2008-2011?